#{"t_start": 1736249810.1212168, "env_id": "None"}
r,l,t
-1833.678474,200,0.078044
-1185.644875,200,0.127482
-1762.10318,200,0.178034
-1766.016597,200,0.23445
-1822.614226,200,0.279138
-1817.107026,200,0.328564
-1838.052387,200,0.378962
-1636.804494,200,0.429253
-1762.047525,200,0.497542
-226.209197,200,0.548949
-532.838262,200,1.594833
-1367.228508,200,1.652573
-13.792855,200,1.704153
-47.386819,200,1.753566
-1556.980531,200,1.805026
-1348.084607,200,1.845186
-817.716056,200,1.898068
-1896.377202,200,1.96435
-1745.162759,200,2.01131
-1693.88307,200,2.061132
-1396.132717,200,3.094635
-1155.168517,200,3.144657
-1318.104094,200,3.21058
-170.888445,200,3.263246
-1640.407833,200,3.314087
-0.883175,200,3.366866
-581.476034,200,3.411388
-1133.128517,200,3.46127
-1668.97673,200,3.511239
-1615.25419,200,3.563102
-1032.034049,200,4.682561
-1819.266224,200,4.761613
-1851.312353,200,4.811364
-29.632249,200,4.864498
-1688.38815,200,4.911208
-1650.846891,200,4.962506
-65.5173,200,5.01112
-1486.45376,200,5.059826
-1371.44922,200,5.094609
-1808.658279,200,5.145208
-1296.669735,200,6.210926
-1633.220038,200,6.260982
-714.152431,200,6.31128
-38.559848,200,6.361255
-1379.308687,200,6.430134
-11.00645,200,6.477716
-30.756774,200,6.528102
-1736.163972,200,6.5887
-1720.593235,200,6.640664
-329.120488,200,6.693622
-2.511574,200,6.745684
-1463.198188,200,7.794409
-131.280586,200,7.848034
-1199.501977,200,7.900046
-88.896171,200,7.952643
-1791.288518,200,8.003721
-1541.573981,200,8.057629
-1896.462225,200,8.108945
-1721.014541,200,8.162235
-754.863579,200,8.213392
-1607.930091,200,8.266259
-1467.383425,200,9.411054
-47.038269,200,9.461143
-1864.336456,200,9.515399
-9.012178,200,9.567973
-1673.10145,200,9.622346
-11.526275,200,9.676071
-1674.155757,200,9.727631
-1468.187721,200,9.781034
-1426.099098,200,9.830298
-0.3047,200,9.877736
-146.015528,200,10.860757
-1611.159676,200,10.914084
-1060.364944,200,10.973801
-313.695091,200,11.025711
-821.556776,200,11.076711
-1611.213139,200,11.128819
-75.664901,200,11.177839
-1689.174001,200,11.22862
-91.485487,200,11.279162
-1786.696549,200,11.328097
-578.491923,200,12.363275
-393.553788,200,12.410872
-1144.488278,200,12.47582
-852.385279,200,12.527664
-219.325723,200,12.578878
-0.931504,200,12.631948
-1384.070553,200,12.685827
-241.647155,200,12.727716
-1881.319509,200,12.780905
-1915.854332,200,12.82737
-59.034199,200,12.896459
-200.383359,200,13.867898
-138.057365,200,13.917858
-1414.134862,200,13.970094
-1072.625115,200,14.010686
-1491.785016,200,14.06078
-1602.04836,200,14.110729
-1126.696045,200,14.16421
-1248.069243,200,14.210684
-622.523195,200,14.259268
-420.600024,200,14.294441
-388.456212,200,15.277292
-1766.283234,200,15.330212
-12.269768,200,15.37741
-6.889973,200,15.430128
-1791.123302,200,15.477343
-32.112477,200,15.530073
-1806.274819,200,15.577385
-1.686599,200,15.62774
-1794.298605,200,15.677432
-1776.324903,200,15.727339
-1600.426148,200,16.842227
-1461.179489,200,16.895631
-1460.600398,200,16.948535
-1654.281994,200,17.000055
-1118.925875,200,17.053137
-1547.233178,200,17.104702
-1306.475974,200,17.144494
-44.940117,200,17.197512
-1697.662499,200,17.244081
-1821.684516,200,17.294201
-224.735646,200,18.560482
-1714.3091,200,18.610639
-1796.789478,200,18.676381
-237.118372,200,18.729936
-1015.359397,200,18.780325
-1470.791518,200,18.840325
-940.585046,200,18.896012
-269.351142,200,18.950313
-24.184171,200,19.005948
-1727.43489,200,19.043927
-177.665751,200,19.094888
-1304.644766,200,20.310462
-24.24168,200,20.397404
-1572.794147,200,20.454079
-1666.34187,200,20.496521
-781.465071,200,20.543716
-363.449337,200,20.596618
-146.545597,200,20.644037
-3.845004,200,20.696553
-15.790717,200,20.743949
-1849.090119,200,20.796974
-549.800608,200,22.069934
-2.63048,200,22.110606
-0.685432,200,22.16041
-1513.343198,200,22.210635
-1260.01199,200,22.260409
-432.761868,200,22.310421
-1236.596207,200,22.36086
-1204.090711,200,22.417262
-27.914743,200,22.460649
-2.111581,200,22.510498
-20.798319,200,23.474788
-1420.834597,200,23.52706
-1500.987192,200,23.578617
-28.755895,200,23.638057
-28.43923,200,23.677598
-1919.729338,200,23.729898
-1679.276937,200,23.776844
-1244.213326,200,23.84378
-18.859528,200,23.899614
-1285.729765,200,23.943796
-1887.831681,200,24.959961
-1626.703333,200,25.010517
-720.727908,200,25.075846
-24.284859,200,25.110632
-729.964865,200,25.160557
-1790.642226,200,25.210252
-6.896901,200,25.260474
-1601.856711,200,25.310478
-1751.541169,200,25.360502
-277.938865,200,25.410408
-115.117601,200,25.460529
-1692.843763,200,26.402987
-8.52899,200,26.453145
-1684.786869,200,26.504882
-785.318742,200,26.560127
-225.783485,200,26.613056
-1003.536058,200,26.66587
-1235.983243,200,26.717794
-1014.082143,200,26.769045
-14.545792,200,26.812555
-1.053687,200,26.879222
-13.579911,200,28.103176
-1865.219327,200,28.144334
-1773.120772,200,28.212916
-1540.606316,200,28.262722
-198.23524,200,28.314249
-0.413085,200,28.362096
-1500.631865,200,28.411878
-152.796693,200,28.472765
-811.516836,200,28.524736
-192.831751,200,28.581807
-258.367976,200,29.743556
-1882.549858,200,29.7936
-9.081633,200,29.843528
-11.568482,200,29.895489
-12.335259,200,29.943538
-394.275846,200,29.993561
-4.780339,200,30.042797
-1853.106938,200,30.076895
-70.273986,200,30.126858
-1812.694575,200,30.176761
-258.144014,200,31.226463
