#{"t_start": 1736245147.9810102, "env_id": "CartPole-v1"}
r,l,t
14.0,14,12.520424
12.0,12,12.788974
23.0,23,13.283975
26.0,26,13.838336
17.0,17,14.2064
21.0,21,14.66116
30.0,30,15.943519
30.0,30,16.582807
15.0,15,16.91653
20.0,20,17.351412
11.0,11,17.599468
26.0,26,18.154404
18.0,18,18.546215
16.0,16,18.89376
18.0,18,19.281903
11.0,11,19.527634
18.0,18,19.916408
20.0,20,20.344984
28.0,28,20.94502
15.0,15,21.273797
20.0,20,21.706538
11.0,11,21.953118
24.0,24,22.467334
13.0,13,22.757529
37.0,37,23.539355
20.0,20,23.978252
15.0,15,24.310174
13.0,13,24.600385
31.0,31,25.257136
18.0,18,25.649607
20.0,20,26.082619
19.0,19,26.492543
14.0,14,26.803858
18.0,18,27.196322
14.0,14,27.507509
20.0,20,27.937429
27.0,27,28.510442
17.0,17,28.882524
13.0,13,29.171232
26.0,26,29.728194
18.0,18,30.122355
43.0,43,31.028956
74.0,74,32.577313
12.0,12,32.844085
41.0,41,33.705419
22.0,22,34.178541
24.0,24,34.694311
43.0,43,35.604225
30.0,30,36.243371
35.0,35,36.984813
15.0,15,37.311259
27.0,27,37.887089
11.0,11,38.134096
26.0,26,38.688485
30.0,30,39.322913
30.0,30,39.962539
15.0,15,40.293189
27.0,27,40.873403
32.0,32,41.556452
20.0,20,41.991333
33.0,33,42.695213
12.0,12,42.965142
17.0,17,43.340412
26.0,26,43.894199
33.0,33,44.593976
15.0,15,44.924923
24.0,24,45.438539
21.0,21,45.892622
17.0,17,46.259349
23.0,23,46.753528
19.0,19,47.164463
12.0,12,47.431941
18.0,18,47.828407
20.0,20,48.263123
49.0,49,49.29906
11.0,11,49.548488
14.0,14,49.854737
20.0,20,50.288512
18.0,18,50.681046
15.0,15,51.012501
14.0,14,51.323956
42.0,42,52.21209
23.0,23,53.453783
24.0,24,53.968232
15.0,15,54.296455
23.0,23,54.791529
23.0,23,55.283931
35.0,35,56.029651
17.0,17,56.399307
14.0,14,56.704441
21.0,21,57.158284
13.0,13,57.447407
13.0,13,57.736572
44.0,44,59.692967
23.0,23,60.187491
67.0,67,62.756438
32.0,32,63.433069
16.0,16,63.783469
36.0,36,64.549208
55.0,55,65.699473
18.0,18,66.088529
19.0,19,66.500317
28.0,28,67.09808
32.0,32,67.780762
12.0,12,68.048742
43.0,43,68.951475
17.0,17,69.323561
35.0,35,70.062783
25.0,25,70.599464
18.0,18,70.988349
50.0,50,72.039346
22.0,22,72.510964
49.0,49,73.541542
49.0,49,74.567437
18.0,18,74.9597
13.0,13,75.248295
21.0,21,75.705544
49.0,49,76.730969
26.0,26,77.284829
16.0,16,77.63324
13.0,13,77.923002
17.0,17,78.292719
18.0,18,78.682647
18.0,18,79.071331
21.0,21,79.521724
19.0,19,79.936721
26.0,26,80.491762
33.0,33,81.193505
29.0,29,81.809882
22.0,22,82.284675
25.0,25,82.816823
20.0,20,83.246509
51.0,51,84.317563
17.0,17,84.687933
16.0,16,85.039475
42.0,42,85.928392
20.0,20,86.358461
23.0,23,86.850265
24.0,24,87.36205
50.0,50,88.413965
28.0,28,89.009678
11.0,11,89.257175
21.0,21,89.711721
26.0,26,90.26668
15.0,15,90.597621
28.0,28,91.195073
31.0,31,91.85411
11.0,11,92.102092
25.0,25,92.639811
35.0,35,93.382423
14.0,14,93.687462
43.0,43,94.594716
19.0,19,95.006654
30.0,30,95.645396
16.0,16,95.99254
13.0,13,96.283373
16.0,16,96.632921
22.0,22,97.103945
14.0,14,97.410341
46.0,46,98.376745
13.0,13,98.663715
11.0,11,98.908516
14.0,14,99.217655
22.0,22,99.695007
18.0,18,100.089137
21.0,21,100.538736
10.0,10,100.763924
24.0,24,101.28098
37.0,37,102.059922
45.0,45,103.002636
24.0,24,103.517524
26.0,26,105.024441
22.0,22,105.495156
77.0,77,107.100541
39.0,39,107.925291
16.0,16,108.278036
30.0,30,108.916876
18.0,18,109.308792
21.0,21,109.761453
19.0,19,110.17023
19.0,19,110.585218
40.0,40,111.434454
26.0,26,111.992576
17.0,17,112.362617
18.0,18,112.751761
40.0,40,113.59473
28.0,28,114.193117
82.0,82,115.907531
22.0,22,116.386326
98.0,98,118.422501
20.0,20,118.852772
46.0,46,119.822856
37.0,37,120.61015
49.0,49,121.640654
17.0,17,122.007832
23.0,23,122.498567
12.0,12,122.768717
29.0,29,123.387029
28.0,28,123.986478
78.0,78,125.615498
35.0,35,126.353098
56.0,56,127.529618
14.0,14,127.840841
76.0,76,129.417732
13.0,13,129.706724
61.0,61,130.976973
21.0,21,131.421921
33.0,33,132.127614
14.0,14,132.438977
10.0,10,132.661963
65.0,65,134.023461
11.0,11,134.268118
49.0,49,135.292178
48.0,48,136.301945
23.0,23,136.795906
13.0,13,137.081928
76.0,76,138.671698
69.0,69,140.110705
18.0,18,140.502506
53.0,53,141.613237
59.0,59,142.838276
52.0,52,143.932748
23.0,23,144.431617
65.0,65,145.78647
19.0,19,146.19962
71.0,71,147.687176
77.0,77,150.242808
112.0,112,152.567087
78.0,78,154.187277
56.0,56,155.350811
45.0,45,156.301645
14.0,14,156.609615
27.0,27,157.181106
59.0,59,158.421723
53.0,53,159.530026
89.0,89,161.368904
